query,resp,rank,IAS,positive,negative,neutral,joy,anger,surprise,disgust,fear,sadness,trust,anticipation
come si forma un tornado,"Che cosa sono e come nascono i tornado? - Focus.it. Un tornado è un fenomeno meteorologico improvviso e violento che si forma durante forti temporali. Scopri le condizioni atmosferiche necessarie, il meccanismo del vortice e le conseguenze delle tempeste.",3,Bing,27.95,29.54,42.51,10.62,11.9,15.64,10.87,15.01,10.68,11.99,13.3
come si forma un tornado,"Trombe d’aria e tornado: cosa sono, come si sviluppano, come si misura .... Le trombe d’aria, note anche come tornado, sono tra i fenomeni atmosferici più violenti e spettacolari esistenti in natura. Si manifestano come vortici d’aria rotanti ad altissima velocità, che si estendono da una nube temporalesca fino al suolo.",4,Bing,34.88,26.6,38.53,12.15,12.43,13.52,8.71,14.34,11.66,13.54,13.67
come si forma un tornado,"I tornado: cosa sono? come si formano? - Tornado in Italia. Scopri le caratteristiche e le tipologie dei tornado, i venti più intensi sulla Terra. Leggi come si formano i tornado non mesociclonici e mesociclonici, e quali sono le condizioni meteorologiche favorevoli.",5,Bing,25.86,25.24,48.9,12.16,12.59,12.69,10.18,15.61,11.41,10.79,14.57
la classificazione del leopardo delle nevi,"Panthera uncia - Wikipedia. Il leopardo delle nevi[2] (Panthera uncia Schreber, 1775) è un felide di grossa taglia originario delle catene montuose dell' Asia centrale. La sua classificazione è stata soggetta a cambiamenti negli ultimi anni e alcune autorità, come Mammal Species of the World[2] e la CITES [3], continuano a chiamarlo con il vecchio nome Uncia uncia.",1,Bing,27.54,30.22,42.24,11.39,12.68,11.03,11.96,13.53,12.11,14.58,12.72
la classificazione del leopardo delle nevi,"Leopardo delle nevi. Classificazione, denominazione, aspetto, habitat. Il leopardo delle nevi si verifica in Cina (Tibet), Asia centrale (Kyrgyzstan, Tajikistan, del sud-estKazakistan e Surxondaryo, Uzbekistan), Russia (Altai e Tuva), Mongolia, Nepal, Bhutan, afghanistan e nell'estremo nord di Pakistan e India.",2,Bing,23.26,27.07,49.66,11.99,11.78,11.32,11.32,13.65,11.96,13.65,14.32
la classificazione del leopardo delle nevi,"Fatti sul leopardo delle nevi: classificazione, habitat e conservazione. Il leopardo delle nevi è un predatore maestoso e sfuggente che ha catturato il cuore di molti appassionati di fauna selvatica. Ma vi siete mai chiesti quale sia la sua classificazione? Immergiamoci nel mondo scientifico e scopriamo di più.",3,Bing,25.0,29.59,45.41,13.22,11.04,11.05,12.06,13.6,12.91,13.28,12.84
la classificazione del leopardo delle nevi,"Leopardo delle nevi: caratteristiche, comportamento e habitat. Il leopardo delle nevi (Panthera uncia), noto anche come irbis o bars, è uno dei più importanti predatori delle catene montuose dell’Asia centrale. Temuto e ammirato dalla culture tibetana e dai pastori di montagna, questo emblematico carnivoro può vivere fino a 6.000 metri di altitudine.",4,Bing,26.22,28.56,45.22,11.83,11.56,11.36,11.67,14.8,12.53,13.02,13.23
la classificazione del leopardo delle nevi,"Leopardo delle nevi: un essere da inseguire. Classificazione. Il leopardo delle nevi è un animale di alta classe e prestigio che si trova bene in regioni climatiche rigide, è un mammifero che è provvisto di ghiandole mammarie che la mamma usa per allattare i cuccioli, è incluso nel gruppo dei vertebrati che hanno la colonna vertebrale che è assente negli invertebrati che ...",5,Bing,27.6,31.48,40.92,13.12,12.86,11.81,12.2,13.65,12.0,12.62,11.75
mostro nero,"Il mostro nero. Gli anni dei delitti di Firenze - Amazon.it. Da un misterioso arsenale di armi, fino all'inchiesta per depistaggio per la cartuccia che avrebbe dovuto incastrare Pietro Pacciani: il “Mostro nero” è un libro-inchiesta, arricchito anche da molti documenti inediti, che accosta vicende del nostro passato all’apparenza distanti, ma che invece presentano somiglianze che soltanto oggi ...",1,Bing,28.4,25.01,46.59,11.21,12.73,12.86,10.81,13.77,11.86,14.73,12.04
mostro nero,"Il mostro nero. Gli anni dei delitti di Firenze - Libreria IBS. Da un misterioso arsenale di armi, fino all'inchiesta per depistaggio per la cartuccia che avrebbe dovuto incastrare Pietro Pacciani: il ""Mostro nero"" è un libro-inchiesta, arricchito anche da molti documenti inediti, che accosta vicende del nostro passato all'apparenza distanti, ma che invece presentano somiglianze che soltanto oggi ...",2,Bing,28.17,25.18,46.65,11.21,12.73,12.86,10.81,13.77,11.86,14.73,12.04
mostro nero,"""Il Mostro nero. Gli anni dei delitti a Firenze"", esce il libro inchiesta. Il ""Mostro nero"" non è infatti il solito resoconto dei sedici omicidi firmati da un'introvabile calibro 22 che terrorizzarono Firenze.",3,Bing,31.84,24.61,43.55,11.73,12.14,12.56,11.63,13.55,12.07,14.7,11.63
mostro nero,"Il mostro di Firenze: un incubo che ritorna tra bugie e verità. Una serie di otto duplici omicidi, 16 vittime innocenti, avvenuti fra il 1968 e il 1985 nella provincia toscana che hanno terrorizzato il Paese e sconvolto i suoi equilibri sociali, scrivendo una delle pagine più buie e complesse della storia criminale contemporanea italiana.",4,Bing,24.64,24.69,50.67,12.14,12.63,11.42,10.77,12.78,12.15,15.07,13.05
mostro nero,"Il mostro nero. Gli anni dei delitti di Firenze - 9791280764126. Gli anni dei delitti di Firenze: Il ""Mostro nero"" non è il solito resoconto dei sedici omicidi firmati da un'introvabile calibro 22 che terrorizzarono Firenze.",5,Bing,31.2,20.05,48.76,11.5,12.13,12.49,11.94,14.06,12.15,14.49,11.22
qual Ã¨ il vulcano attivo piÃ¹ antico,"Qual è il vulcano più antico? - Tutte le Domande. Sebbene oggi il Brasile non sia la patria di alcun vulcano attivo, il paese ha il vulcano più antico del mondo mai scoperto. Con 1,89 miliardi di anni, ciò che resta di questo antico vulcano si trova nella regione amazzonica, in particolare tra i fiumi Tapajós e Jamanxim.",1,Bing,29.73,23.15,47.13,12.08,12.54,11.85,10.86,14.08,12.58,14.1,11.91
qual Ã¨ il vulcano attivo piÃ¹ antico,"Etna: caratteristiche e storia del vulcano attivo più alto d’Europa. Simbolo della Sicilia, ma che domina anche il panorama dalla sponda calabra, l’ Etna ha tra i suoi tanti primati quello di essere il vulcano attivo più alto d’Europa: la sua vetta, dai 3.326...",2,Bing,29.51,23.46,47.02,12.02,11.82,10.99,11.27,13.72,13.09,14.41,12.69
qual Ã¨ il vulcano attivo piÃ¹ antico,"Come si dice quando un vulcano e inattivo? - Area Sosta. Quando nella camera magmatica è presente il magma, il vulcano è attivo, quando questo si esaurisce si spegne. La forma dell'edificio vulcani dipende dal tipo di lava e dal modo in cui i materiali che risalgono dal camino vengono emessi in superficie.",3,Bing,33.1,27.46,39.45,11.68,12.63,11.93,10.86,14.14,11.98,13.89,12.89
qual Ã¨ il vulcano attivo piÃ¹ antico,ETNA: il vulcano attivo più alto in Europa - Mapsism. Attualmente l'Etna è il vulcano attivo più alto d'Europa e per via delle sue numerose eruzioni è costantemente monitorato dagli esperti dell'INGV (Istituto Nazionale Geofisica Vulcanologia). Assieme al Vesuvio e ai temutissimi Campi Flegrei è tra i vulcani maggiormente noti a livello mondiale.,4,Bing,29.06,18.78,52.16,11.82,11.49,11.44,10.91,14.0,12.75,14.67,12.92
quale tipologia di eruzione provoca piÃ¹ danni?,"Eruzione Cutanea - Diagnosi e Trattamenti a Milano - Istituto IDE. Ogni tipo di eruzione cutanea ha caratteristiche uniche che richiedono un approccio specifico, sottolineando l’importanza di una valutazione medica approfondita per identificare la causa sottostante e implementare le strategie terapeutiche più appropriate.",1,Bing,32.14,22.1,45.76,11.35,11.14,11.54,11.12,13.67,11.6,15.52,14.05
quale tipologia di eruzione provoca piÃ¹ danni?,"Eruzione cutanea: tipi, sintomi, cause, diagnosi e trattamenti. In questo articolo, esploreremo le diverse tipologie di eruzioni cutanee, analizzando le possibili cause, i metodi diagnostici e le opzioni di trattamento disponibili per alleviarne i sintomi e favorire la guarigione della pelle.",2,Bing,28.35,24.5,47.14,10.99,12.52,11.97,10.41,13.02,12.9,14.57,13.62
quale tipologia di eruzione provoca piÃ¹ danni?,"Eruzioni Cutanee - diagnosi e trattamenti a Milano - Istituto IDE. Quali tipi di eruzioni cutanee esistono? Esistono macule, papule, placche, vescicole, pustole, noduli e bolle, tra gli altri. Cosa significa quando un’eruzione cutanea è pruriginosa? Significa che provoca un forte desiderio di grattarsi, causato spesso da infiammazioni o allergie. Come si trattano le eruzioni cutanee?",3,Bing,27.32,33.75,38.93,12.05,12.33,11.04,11.35,15.76,11.72,12.55,13.2
quale tipologia di eruzione provoca piÃ¹ danni?,"Eruzioni cutanee: scopri i sintomi, le cause e il trattamento. Le eruzioni cutanee sono di vario tipo, come la psoriasi e l'eruzione cutanea da calore. Identifica le cause e i trattamenti. Ricevi consigli da esperti sulla gestione delle condizioni della pelle.",4,Bing,25.94,28.24,45.82,11.55,13.0,11.84,10.81,14.54,12.22,14.2,11.84
quale tipologia di eruzione provoca piÃ¹ danni?,"Eruzione cutanea: tipi e principali cause - Vivere più sani. Le eruzioni cutanee sono causate da svariati fattori, tra cui genetica, infezioni, allergie, agenti ambientali e altro ancora. Il trattamento dipende in gran parte dal fattore scatenante. Si parla di eruzione cutanea, nota anche come efflorescenza, in presenza di lesioni alla pelle.",5,Bing,28.36,28.94,42.7,10.94,12.21,12.05,10.17,14.53,11.82,14.64,13.65
quali animali sono in via di estinzione,"26 specie animali che l’uomo sta spingendo verso l’estinzione. Scopri le 26 specie animali che l’uomo sta spingendo verso l’estinzione, tra cui la focena del Golfo di California, il rinoceronte nero e il panda gigante. Leggi le loro storie e le sfide per salvarle dalla crisi della natura e del clima.",1,Bing,25.2,23.18,51.62,12.07,12.25,10.97,12.71,14.53,11.82,14.27,11.37
quali animali sono in via di estinzione,"Animali rari: 15 specie in via di estinzione nel mondo - Terra Incognita. Tra gli animali in via di estinzione ci sono insetti, molluschi, ragni, stelle marine e altri invertebrati, oltre ai vertebrati come mammiferi [3], uccelli, rettili, anfibi, pesci. Le specie nella lista rossa IUCN sono purtroppo migliaia.",2,Bing,29.46,26.33,44.21,12.64,12.56,12.8,12.02,13.35,11.66,12.85,12.12
quali animali sono in via di estinzione,Animali in via di estinzione: 18 specie a rischio in Italia e nel mondo. Distruzione degli habitat e inquinamento causano la scomparsa di molte specie. Ecco quali sono gli animali in via d'estinzione in Italia e nel mondo.,3,Bing,22.9,24.44,52.67,11.88,12.76,11.59,10.94,13.94,12.27,14.3,12.34
quali animali sono in via di estinzione,"Animali in via di estinzione a causa dei cambiamenti climatici. Animali in via di estinzione: quali sono le specie più a rischio e le principali cause del loro lento declino. Cambiamenti climatici, aumento della temperatura, scioglimento dei ghiacci, e anche l’opera dell’uomo stanno mettendo a serio repentaglio moltissime specie animali, che sono costretti a vivere in habitat sempre più ridotti e ostili.",4,Bing,27.09,28.78,44.13,11.16,11.89,11.58,10.73,14.03,12.47,14.88,13.26
quali animali sono in via di estinzione,"Quali animali sono in via di estinzione nel mondo - Fondazione UNA. I dati aggiornati al 2022 in Italia, evidenziano come delle 672 specie di vertebrati italiani (di cui 576 terrestri e 96 marine), 6 sono ormai estinte e 161 sono a rischio estinzione (di cui 138 specie terrestri e 23 specie marine), pari al 28% delle specie valutate.",5,Bing,30.02,25.27,44.71,12.22,12.52,11.34,12.23,13.61,11.82,14.04,12.21
quali sono gli esemplari rimasti di fantasma ...,"Perché è nata la figura dei fantasmi? Origini e significato nella .... I fantasmi (spesso chiamati anche spettri) sono entità sovrannaturali di fantasia presenti in moltissime culture e tradizioni del mondo, motivo per cui nel corso dei secoli si sono accumulate rappresentazioni molto variegate del fenomeno.",1,Bing,29.33,26.42,44.25,11.19,12.77,11.42,10.09,12.61,11.19,16.71,14.03
quali sono gli esemplari rimasti di fantasma ...,"Fantasmi: cosa sono e prove della loro esistenza – SaggiaSibilla. Per la scienza i fantasmi non esistono, e sono state date svariate spiegazione ai fenomeni paranormali. Pare che ci siano alcune forme di degenerazione mentale che portano la retina oculare a vedere figure che non ci sono; in altri casi si parla di miraggi, o fenomeni ottici di varia natura.",2,Bing,33.56,28.66,37.78,10.83,12.22,10.24,12.12,13.38,11.19,16.25,13.77
quali sono gli esemplari rimasti di fantasma ...,"I fantasmi esistono davvero? Cosa ci dice la scienza sulla loro .... Se i fantasmi esistono davvero, devono comunque rispettare le leggi della termodinamica. Queste leggi stabiliscono che l’energia non può essere né creata né distrutta, ma solo trasformata. Per un fantasma, ciò significa dover attingere energia dall’ambiente e restituirla.",3,Bing,28.95,33.0,38.06,11.66,11.73,10.96,10.94,12.82,11.29,16.68,13.92
quali sono gli esemplari rimasti di fantasma ...,"I fantasmi esistono davvero? Cosa dice la scienza - Ecoo.it. La scienza ha provato a spiegare che cosa potrebbero essere quelli che noi identifichiamo come spettri. Al netto di enormi difficoltà che la comunità scientifica trova nell’applicare criteri logici ai racconti di chi dichiara di aver avuto un incontro paranormale, ci sono comunque alcune spiegazioni molto plausibili.",4,Bing,32.88,30.86,36.27,10.87,11.07,12.28,10.19,12.33,11.51,17.04,14.72
quali sono gli esemplari rimasti di fantasma ...,"Fantasmi: cosa sappiamo davvero? Come sono fatti? - Archaeus. La maggior parte delle apparizioni di fantasmi sono osservate da un singolo testimone. Nei casi in cui sono presenti più testimoni, alcuni potrebbero percepire il fantasma, mentre altri no. È raro che tutti i testimoni presenti vedano esattamente lo stesso fenomeno.",5,Bing,35.87,28.88,35.26,10.21,11.66,12.31,11.37,13.77,11.84,16.63,12.21
quando Ã¨ avvenuto il mostro nero,"Martedì nero - Wikipedia. Con l'espressione Martedì nero (detto anche ""Big Crash"") ci si riferisce al giorno del crollo della borsa valori avvenuto il 29 ottobre 1929 a New York, presso lo Stock Exchange, sede del mercato finanziario più importante per volume degli Stati Uniti.",1,Bing,29.52,25.35,45.13,11.72,11.18,13.11,9.89,13.78,11.34,14.45,14.53
quando Ã¨ avvenuto il mostro nero,"Martedì nero - Wikiwand. Con l'espressione Martedì nero ci si riferisce al giorno del crollo della borsa valori avvenuto il 29 ottobre 1929 a New York, presso lo Stock Exchange, sede del mercato finanziario più importante per volume degli Stati Uniti.",2,Bing,29.76,24.39,45.85,11.61,11.1,12.73,9.82,13.84,11.6,14.81,14.5
quando Ã¨ avvenuto il mostro nero,"Mostro di Firenze - Stefano Brogioni: “Il mostro nero: gli anni dei .... 6 luglio 2022 - Parco di Villa Giamari, piazza Don Milani, 1- Montemurlo (PO)Il libro di Stefano Brogioni è disponibile al link che segue:https: ...",3,Bing,26.06,24.23,49.7,12.4,13.42,12.99,10.45,12.87,11.95,14.12,11.79
quando Ã¨ avvenuto il mostro nero,"Mostro di Firenze - Intervista esclusiva a Stefano Brogioni ... - YouTube. In diretta uno dei giornalisti che piu' ha scritto sulla vicenda mostro di Firenze, parleremo del suo libro e delle ultime novita' emerse del caso....more. Intervista esclusiva al giornalista de...",4,Bing,26.58,18.23,55.19,11.92,13.43,13.57,10.16,11.85,11.55,14.31,13.21
quando Ã¨ avvenuto il mostro nero,"Il mostro nero. Gli anni dei delitti di Firenze - Amazon.it. Il “Mostro nero"" non è il solito resoconto dei sedici omicidi firmati da un'introvabile calibro 22 che terrorizzarono Firenze.",5,Bing,31.11,20.59,48.3,11.5,12.13,12.49,11.94,14.06,12.15,14.49,11.22
quante specie di leopardi delle nevi esistono,"Quanti leopardi delle nevi esistono? - animali.wiki. Il leopardo delle nevi è un animale estremamente elusivo che vive nelle aree rocciose e montane dell'Himalaya, del Tibet, del Pamir, dei Monti Altai e di altre aree dell'Asia centrale. La più recente stima è di 2.710-3.386 individui maturi.",1,Bing,28.56,33.33,38.11,12.68,11.39,11.49,12.31,13.73,12.71,13.18,12.51
quante specie di leopardi delle nevi esistono,"Panthera uncia - Wikipedia. In estate il leopardo delle nevi vive di solito al di sopra della linea degli alberi, in prati di montagna e terreni rocciosi a 2700-6000 m di quota. In inverno scende nelle foreste, a circa 1200-2000 m.",2,Bing,24.87,25.86,49.27,11.94,12.09,13.69,9.21,13.24,11.39,13.5,14.94
quante specie di leopardi delle nevi esistono,Quanti leopardi delle nevi ci sono nel mondo? - animali.wiki. Quanti leopardi delle nevi ci sono nel mondo? Al 2017 secondo l'Associazione Mondiale degli Zoo e Acquari (WAZA) i leopardi delle nevi presenti negli zoo del mondo sono 471 e 8 quelli presenti negli zoo italiani.,3,Bing,22.07,25.07,52.86,13.29,12.88,11.71,11.49,13.03,11.87,13.27,12.46
quante specie di leopardi delle nevi esistono,"Quanti sono i leopardi delle nevi? - animali.wiki. Il leopardo delle nevi è un animale estremamente elusivo che vive nelle aree rocciose e montane dell'Himalaya, del Tibet, del Pamir, dei Monti Altai e di altre aree dell'Asia centrale. La più recente stima è di 2.710-3.386 individui maturi.",4,Bing,28.3,32.68,39.02,12.68,11.39,11.49,12.31,13.73,12.71,13.18,12.51
quante specie di leopardi delle nevi esistono,"Tutto sul leopardo delle nevi: lo spirito libero dell’Himalaya. Al momento è impossibile dire quanti leopardi delle nevi ci sono nel mondo, perché la loro natura schiva rende difficilissimo censirli in modo attendibile. Motivo per cui le stime si aggirano tra i 2.900 e i 7.000 esemplari selvatici.",5,Bing,30.84,25.86,43.3,11.98,11.84,11.47,11.17,12.83,12.01,16.28,12.43
quanti esemplari sono rimasti di fantasma del...,"Chi è il leopardo delle nevi e perché è detto “fantasma ... - Kodami. Il leopardo delle nevi è considerato vulnerabile all’estinzione secondo la Lista Rossa della IUCN (Unione internazionale per la conservazione della natura) e ad oggi si stimano solo dai 4.000 ai 7.000 esemplari rimasti in natura, rendendolo di fatto una delle specie di grandi felidi più rare e minacciate.",1,Bing,27.48,28.58,43.95,12.0,11.8,11.46,11.9,13.45,11.4,14.73,13.26
quanti esemplari sono rimasti di fantasma del...,"Solo 29 Ferrari F40: l’esclusivo club dei superstiti - TURBO-SPEED.IT. La Ferrari F40 è considerata ancora oggi la regina delle supercar. Prodotta in soli 1337 esemplari tra il 1987 e il 1992, non si sa con certezza quanti ne siano rimasti in circolazione. Tuttavia, è certo che il numero si sia ridotto di uno rispetto a qualche giorno fa.",2,Bing,30.58,29.4,40.02,12.83,11.63,12.48,9.55,12.24,11.49,15.89,13.89
quanti esemplari sono rimasti di fantasma del...,"Quante Ferrari F40 sono rimaste? - Area Sosta. La Ferrari F40 è considerata ancora oggi come la regina delle supercar, prodotta in soli 1337 esemplari tra il 1987 e il 1992 non sappiamo ad oggi con certezza quanti ne siano rimasti ma di certo uno in meno di qualche giorno fa.",3,Bing,30.9,32.75,36.35,12.05,11.16,13.09,8.26,13.14,11.48,15.49,15.33
quanti esemplari sono rimasti di fantasma del...,"Le immagini inedite dello squalo fantasma: è cieco e vive negli abissi. I ricercatori del Monterey Bay Aquarium Research Institute hanno diffuso il video di uno 'squalo fantasma', una chimera azzurra dal naso a punta filmata per la prima volta al largo della...",4,Bing,23.63,21.52,54.86,12.49,12.89,13.73,10.22,13.81,11.08,12.78,12.99
quanti esemplari sono rimasti di fantasma del...,"Fantasma - Wikipedia. Il fantasma (dal latino phantasma, derivato dal greco φάντασμα, phàntasma, a sua volta da ϕαντάζω phantàzo, ""mostrare"" o da ϕαντάζομαι «apparire»), chiamato anche ombra, spettro o larva (dal latino larua) [1][2][3] nelle leggende e nel folclore è la forma visibile di un' anima, spesso rappresentata come figura evanescente, vestita di bianco. [4]...",5,Bing,30.42,29.09,40.48,12.15,11.91,11.81,11.42,13.57,12.55,14.01,12.59
quanti sono gli esemplari di leopardo delle nevi,"Panthera uncia - Wikipedia. Il leopardo delle nevi vive negli altopiani tra i 3350 e i 6700 m di altitudine [21]. Gli studiosi della Snow Leopard Survival Strategy hanno cercato, malgrado le difficoltà, di fare una stima della popolazione di questo animale, valutandola sui 4080-6590 esemplari [18].",1,Bing,25.71,28.87,45.43,12.46,12.69,11.55,11.0,13.73,12.16,13.55,12.86
quanti sono gli esemplari di leopardo delle nevi,"Leopardo delle nevi, sul pianeta restano solo 4mila esemplari. Roma, 23 ott. – (Adnkronos) – Il leopardo delle nevi (Panthera uncia) è una delle specie più rare e meno studiate al mondo: restano appena 4.000 esemplari e sono distribuiti in maniera frammentata tra le montagne di Afghanistan, Bhutan, Cina, India, Kazakihstan, Kyrgyzstan, Mongolia, Nepal, Pakistan, Russia, Tajikistan e Uzbekistan.",2,Bing,23.19,27.96,48.86,12.23,12.84,11.69,10.9,13.45,11.58,13.65,13.66
quanti sono gli esemplari di leopardo delle nevi,"Leopardo delle Nevi: curiosità e dove avvistarlo. Ad oggi, il Leopardo delle Nevi è considerato a rischio estinzione e si stima che in natura ce ne siano solamente tra i 3.500 e i 6.500 esemplari. Potete quindi ben immaginare quanto sia difficile e raro riuscire ad avvistarne uno libero e felice nel suo habitat naturale.",3,Bing,35.0,29.89,35.11,11.64,10.99,11.78,11.57,13.96,12.89,14.89,12.28
quanti sono gli esemplari di leopardo delle nevi,"Leopardo delle nevi, in Mongolia quasi mille esemplari. Ma la specie .... Un’indagine di 4 anni, che ha coinvolto più di 500 persone, ha permesso di stimare con precisione la presenza del «fantasma delle montagne» nello stato asiatico. Questo grande felino è...",4,Bing,33.94,24.17,41.89,11.74,11.83,12.92,11.37,13.93,11.1,13.69,13.41
quanti sono gli esemplari di leopardo delle nevi,Leopardo delle nevi: oltre il 70% dell’habitat ancora inesplorato. Il numero attuale stimato di esemplari si aggira attorno ai 3500. Cifre di cui disponiamo grazie a campagne di ricerca attivate in molteplici punti dell’areale di distribuzione del leopardo.,5,Bing,28.86,26.29,44.85,12.4,10.99,11.64,10.34,13.67,11.74,14.3,14.93
quanti sono gli esemplari rimasti di fantasma ...,"Fantasma - Wikipedia. Il fantasma è un soggetto che ha avuto ampio successo nella letteratura, dando vita al genere della storia di fantasmi, e in altri media come il cinema o i fumetti, divenendone un tipico personaggio non solo nella narrativa di genere, come quella fantastica, dell'orrore o per ragazzi, [11] ma comparendo anche, ad esempio, in opere come l ...",1,Bing,31.72,26.76,41.51,12.06,12.63,11.75,11.29,12.24,12.58,14.95,12.51
quanti sono gli esemplari rimasti di fantasma ...,"Il “fantasma delle montagne”: trovato dopo 3 anni di lunga attesa. A Desai sono stati necessari ben 3 anni per riuscire a fotografarlo, trovandolo in un’area montana a circa 8 km dal villaggio di Kibber (Himalaya). Il servizio ritrae, infatti, un bellissimo esemplare nascosto tra le rocce.",2,Bing,31.64,27.38,40.98,10.8,11.65,13.4,9.99,13.79,11.84,15.0,13.52
quanti sono gli esemplari rimasti di fantasma ...,"I fantasmi esistono davvero? Cosa ci dice la scienza sulla loro .... La scienza può spiegare i fantasmi? L'indagine tra forze della natura, meccanica quantistica e leggi della termodinamica.",3,Bing,28.31,27.42,44.27,10.96,10.72,11.6,10.94,12.44,10.35,17.21,15.78
quanti sono gli esemplari rimasti di fantasma ...,Fantasmi: cosa sappiamo davvero? Come sono fatti? - Archaeus. Per rispondere alla domanda «Come sono fatti davvero i Fantasmi?» bisogna rispondere ad altre domande più specifiche: Qual’è l’aspetto dei fantasmi? Quanti e quali tipi di fantasmi esistono? Dove vivono? Da dove vengono? Quando si mostrano? Perché si mostrano? Perché riusciamo a percepirli o vederli? Come comunicano non noi?,4,Bing,33.24,35.62,31.14,10.75,11.33,13.17,12.52,12.57,13.61,13.62,12.44
quanti sono gli esemplari rimasti di fantasma ...,"Quanti tipi di fantasmi esistono? - Focus.it. Qualunque cosa siano, i fantasmi non sono tutti uguali. Ecco un’approssimativa classificazione dei vari tipi di fantasmi. Per saperne di più sugli studi scientifici sui fantasmi clicca qui.",5,Bing,29.55,32.9,37.56,10.49,11.43,10.43,13.17,11.52,11.91,15.37,15.69
sinonimi del tornado,"Tornado Sinonimi e Contrari - Treccani. Scopri sinonimi e contrari della parola tornado. Nel Dizionario Treccani troverai significato ed etimologia. Entra subito su Treccani.it, il portale del sapere.",1,Bing,36.33,27.74,35.92,12.04,13.36,12.58,11.32,13.12,11.61,12.71,13.27
sinonimi del tornado,Tornado - Dizionario dei sinonimi e dei contrari - Corriere.it. Tornado: scopri sinonimi e contrari del termine su Dizionario dei sinonimi e dei contrari del Corriere.it,2,Bing,42.8,23.53,33.66,12.37,13.14,11.28,12.17,14.23,10.33,12.26,14.21
sinonimi del tornado,"tornado - Treccani. [manifestazione ventosa di grande intensità con andamento a spirale] ≈ ciclone. ‖ tornado, tromba d'aria. b. (estens.) [vento di forza eccezionale che supera i 100 km orari] ≈ tifone.",3,Bing,32.07,28.79,39.14,12.74,12.11,12.21,10.0,14.92,11.7,12.26,14.05
sinonimi del tornado,"Tornado - Sinonimi e Contrari di Tornado. Sinonimo di Tornado. ciclone, temporale, tifone, tromba, turbine, uragano, furia. Vedi anche: tromba d'aria, vortice, burrasca, tempesta, tormenta, turbinio, turbolenza, buriana",4,Bing,26.99,30.28,42.73,12.87,12.46,12.32,9.49,16.21,11.6,10.29,14.75
sinonimi del tornado,Tornado: i Sinonimi e i Contrari - Virgilio Sapere. Cerchi il sinonimo di Tornado? Scopri su VirgilioSapere le alternative e la lista completa dei suoi Sinonimi e Contrari!,5,Bing,29.96,23.97,46.07,12.37,12.69,11.86,10.1,14.09,11.3,13.57,14.02
tigre bianca,"La tigre bianca: tutto su cuccioli, habitat e origini - DeAbyDay. Scopri la tigre bianca, un felino bianco con strisce nere e occhi azzurri, frutto di una mutazione genetica nella tigre del Bengala. Leggi le sue abitudini, il suo habitat, la sua longevità e le differenze con la tigre senza strisce.",1,Bing,26.62,23.71,49.67,13.63,13.19,11.5,11.71,14.53,11.32,12.45,11.67
tigre bianca,"Tigre bianca: com'è, dove vive, si nutre e si riproduce - InfoAnimales. Scopri tutto sulla tigre bianca, il gatto più grande del mondo, che ha il pelo bianco per una mutazione genetica. Leggi dove vive, cosa mangia, come si riproduce e perché è in via di estinzione.",2,Bing,25.4,23.89,50.71,12.79,13.32,12.25,10.77,13.92,11.68,13.98,11.29
tigre bianca,"Tigre bianca - Wikipedia. Tigre bianca può riferirsi a diverse cose, come una variante del colore della tigre, un personaggio dei fumetti o un simbolo cinese. Scopri le voci corrispondenti e i collegamenti per approfondire.",3,Bing,27.9,25.26,46.83,13.08,13.18,12.07,11.39,13.35,12.3,13.19,11.45
tigre bianca,"Tigre bianca: caratteristiche e verità sulla specie affascinante. La tigre bianca è una varietà di tigre del Bengala con mantello bianco e righe nere o grigie. Scopri come si forma, perché è rara e perché è minacciata dal bracconaggio.",4,Bing,33.76,22.39,43.84,12.59,13.1,11.58,12.28,14.52,11.3,13.61,11.02
tigre bianca,"Tigre bianca: alcune curiosità su questo maestoso animale. La tigre bianca è un animale in via d’estinzione, ma non perde la sua maestosità e la sua eleganza ed ecco alcune curiosità molto interessanti. La tigre bianca fa parte delle Tigri del Bangala ma ha una colorazione diversa del suo manto. La classica tigre ha il pelo arancione e bianco con striature nere.",5,Bing,33.31,24.96,41.72,13.47,13.28,12.28,11.35,13.93,11.72,13.16,10.81
velocitÃ  massima del tornado,"Panavia Tornado - Wikipedia. Il Panavia Tornado (ufficialmente Panavia PA-200 Tornado, meglio conosciuto come Tornado MRCA - Multi Role Combat Aircraft) è un caccia multiruolo con ala a geometria variabile.",1,Bing,27.35,28.18,44.47,12.4,11.76,13.54,10.78,14.86,10.88,10.99,14.78
velocitÃ  massima del tornado,"Tornado IDS dati tecnici - Aerei Militari. Velocità max con carichi esterni : Mach 0,92 Quota operativa massima : oltre 15.000 m Velocità di salita : 9.150 m di quota in 120 secondi dal rilascio dei freni",2,Bing,31.09,25.8,43.11,11.45,11.6,13.33,8.8,13.83,11.05,15.02,14.91
